"query","variants","reason","source_files","source_locations","trends_signal"
"ai character chat","ai character chat","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#36","top"
"ai chat","ai chat","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#23","top"
"ai chat bot","ai chat bot","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#42","top"
"ai chat character","ai chat character","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#39","top"
"ai chat free","ai chat free","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#19","top"
"ai chat gpt","ai chat gpt","Generic AI product navigation without export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#8 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv#9","top"
"ai chat online","ai chat online","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#34","top"
"ai chatgpt","ai chatgpt","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#17 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#2","rising | top"
"ai detector","ai detector","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#50","top"
"ai for presentation","ai for presentation","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#23 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#28 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#18 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#16","rising | top"
"ai free chat","ai free chat","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#20","top"
"ai gemini","ai gemini","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#33 | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#9 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#11","rising | top"
"ai generator","ai generator","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#11","top"
"ai gpt chat","ai gpt chat","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#3","top"
"ai hay","ai hay","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#30","rising"
"ai image generator","ai image generator","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#48","top"
"ai image to video","ai image to video","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#27","top"
"ai marketing news","ai marketing news","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#37","top"
"ai mode","ai mode","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#22 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#9 | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#24 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#15 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv#20","rising | top"
"ai music news","ai music news","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#30","rising"
"ai news","ai news","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815.csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815.csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#23 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#14 | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#35 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#3 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#20 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#14 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#33 | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#27 | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815.csv#3 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv#9 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv#20 | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#2 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#2 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#18 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv#2 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#14 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#5 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#8 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815.csv#9","rising | rising:Breakout | top | top:Breakout"
"ai news today","ai news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815.csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (5).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815.csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#2 | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#3 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#2 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#9 | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#19 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#43 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#6 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#2 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#2 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#3 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#8 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#2 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#12 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv#2 | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#2 | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815.csv#4 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#11 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#2 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv#2 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#2 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv#25 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv#47 | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#4 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#4 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#32 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (5).csv#43 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv#7 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#29 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#19 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#12 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815.csv#11","rising:Breakout | rising | top:Breakout | top"
"ai overview","ai overview","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#21","top"
"ai presentation","ai presentation","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#42 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#47 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#2 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#3 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#2","rising | top"
"ai presentation generator","ai presentation generator","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#36","top"
"ai presentation maker","ai presentation maker","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#31 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#40 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#30 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#9 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#37","rising | top"
"ai presentation maker free","ai presentation maker free","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#51","top"
"ai regulation news","ai regulation news","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#7 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#42 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#8 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#15 | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#41 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#21 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv#35","rising:Breakout | rising | top:Breakout | top"
"ai studio","ai studio","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#23 | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#22 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#47","rising | top"
"ai text to speech","ai text to speech","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#46","top"
"ai to human","ai to human","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#18","top"
"ai updates","ai updates","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#40 | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#20 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#11","rising | top"
"ai video generator","ai video generator","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#48 | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#33","rising | top"
"ai web scraper","ai web scraper","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#18 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#13","rising | top"
"ai web scraping tools medium","ai web scraping tools medium","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#2 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#45","rising:Breakout | top:Breakout"
"airline news today","airline news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#15 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#28 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#28","rising:Breakout"
"airlines news today","airlines news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#13","rising:Breakout"
"anthropic","anthropic","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#14 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#33","rising | top"
"anthropic news","anthropic news","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#11 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#6 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#8 | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#20 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#4 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#4 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#10 | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#15 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#39 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#31","rising:Breakout | rising | top:Breakout"
"anthropic news today","anthropic news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#18 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#13 | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#9 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#14 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#26","rising:Breakout"
