"query","cluster","product_relevance","store_location","status","coverage_or_reason","us_validation_status","us_validation_note","review_status"
"convert html to pdf","PDF-HTML","direct","long_description","covered semantically","convert an HTML webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"convert html to pdf free","PDF-HTML","direct","not_applicable","excluded with reason","Excluded from Store copy: pricing is not used as an acquisition claim until it is explicitly confirmed.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"convert long webpage to pdf","PDF-LONG-PAGE","direct","long_description","covered semantically","full-page PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"convert page to pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"convert webpage to pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"convert webpage to pdf online","PDF-WEBPAGE","direct","not_applicable","excluded with reason","Excluded from Store copy: an online converter implies a hosted or pasted-input workflow; Page 2 PDF works on the active Chrome tab.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"download a webpage as pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"download webpage as pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export chat","CHAT-MSG-BROWSER","direct","long_description","covered semantically","AI and messenger chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export chat gpt","CHAT-AI-CHATGPT","direct","long_description","covered semantically","ChatGPT to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export chat gpt conversation","CHAT-AI-CHATGPT","direct","long_description","covered semantically","ChatGPT to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export chat in whatsapp","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export chat telegram","CHAT-MSG-TELEGRAM","direct","long_description","covered semantically","Telegram Web chat or channel to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export chat whatsapp","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export chatgpt","CHAT-AI-CHATGPT","direct","long_description","covered semantically","ChatGPT to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export chatgpt conversation","CHAT-AI-CHATGPT","direct","long_description","covered semantically","ChatGPT to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export claude chat","CHAT-AI-CLAUDE","direct","long_description","covered semantically","Claude to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export grok chat to pdf","CHAT-GROK","direct","long_description","covered semantically","Gemini, Grok, Perplexity, Microsoft Copilot, and Manus conversations","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export microsoft copilot chat to pdf","CHAT-COPILOT","direct","long_description","covered semantically","Gemini, Grok, Perplexity, Microsoft Copilot, and Manus conversations","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export page","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export perplexity chat to pdf","CHAT-PERPLEXITY","direct","long_description","covered semantically","Gemini, Grok, Perplexity, Microsoft Copilot, and Manus conversations","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export telegram chat","CHAT-MSG-TELEGRAM","direct","long_description","covered semantically","Telegram Web chat or channel to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export webpage to pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export whatsapp","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export whatsapp chat","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"export whatsapp chat to pdf","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"free html to pdf converter","PDF-HTML","direct","not_applicable","excluded with reason","Excluded from Store copy: pricing is not used as an acquisition claim until it is explicitly confirmed.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"from html to pdf","PDF-HTML","direct","long_description","covered semantically","convert an HTML webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"gemini chat to pdf","CHAT-AI-GEMINI","direct","long_description","covered semantically","Gemini, Grok, Perplexity, Microsoft Copilot, and Manus conversations","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"gemini exporter","CHAT-AI-GEMINI","direct","long_description","covered semantically","Gemini, Grok, Perplexity, Microsoft Copilot, and Manus conversations","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to change html to pdf","PDF-HTML","direct","long_description","covered semantically","convert an HTML webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to convert a webpage to pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to convert html to pdf","PDF-HTML","direct","long_description","covered semantically","convert an HTML webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to convert webpage to pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to download a webpage as a pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to download a webpage as pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to download webpage as pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to export chat from whatsapp","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to export chat from whatsapp web","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to export chat in telegram","CHAT-MSG-TELEGRAM","direct","long_description","covered semantically","Telegram Web chat or channel to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to export chat in whatsapp","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to export chatgpt chat","CHAT-AI-CHATGPT","direct","long_description","covered semantically","ChatGPT to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to export chats from whatsapp","CHAT-MSG-WHATSAPP","direct","not_applicable","excluded with reason","Excluded from Store copy: the plural query can imply account-wide export; Page 2 PDF exports the current supported conversation only.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to export telegram chat","CHAT-MSG-TELEGRAM","direct","long_description","covered semantically","Telegram Web chat or channel to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to export whatsapp chat","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to export whatsapp chat history","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to export whatsapp chat to pdf","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to export whatsapp messages","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to make a webpage a pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to print webpage as pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to save a webpage as a pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to save a webpage as pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to save webpage as pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to save webpage as pdf chrome","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"how to turn webpage into pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"html code to pdf","PDF-HTML","direct","not_applicable","excluded with reason","Excluded from Store copy: the listing promises an HTML webpage already open in Chrome, not raw code or file upload.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"html convert to pdf","PDF-HTML","direct","long_description","covered semantically","convert an HTML webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"html converter to pdf","PDF-HTML","direct","long_description","covered semantically","convert an HTML webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"html document to pdf","PDF-HTML","direct","not_applicable","excluded with reason","Excluded from Store copy: the listing promises an HTML webpage already open in Chrome, not raw code or file upload.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"html file to pdf","PDF-HTML","direct","not_applicable","excluded with reason","Excluded from Store copy: the listing promises an HTML webpage already open in Chrome, not raw code or file upload.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"html link to pdf","PDF-HTML","direct","not_applicable","excluded with reason","Excluded from Store copy: Page 2 PDF does not accept a pasted URL or link.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"html page to pdf","PDF-HTML","direct","long_description","covered semantically","convert an HTML webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"html to pdf","PDF-HTML","direct","long_description","covered semantically","convert an HTML webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"html to pdf converter","PDF-HTML","direct","long_description","covered semantically","convert an HTML webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"html to pdf converter free","PDF-HTML","direct","not_applicable","excluded with reason","Excluded from Store copy: pricing is not used as an acquisition claim until it is explicitly confirmed.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"html to pdf converter online","PDF-HTML","direct","not_applicable","excluded with reason","Excluded from Store copy: an online converter implies a hosted or pasted-input workflow; Page 2 PDF works on the active Chrome tab.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"html to pdf free","PDF-HTML","direct","not_applicable","excluded with reason","Excluded from Store copy: pricing is not used as an acquisition claim until it is explicitly confirmed.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"html to pdf online","PDF-HTML","direct","not_applicable","excluded with reason","Excluded from Store copy: an online converter implies a hosted or pasted-input workflow; Page 2 PDF works on the active Chrome tab.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"online html to pdf converter","PDF-HTML","direct","not_applicable","excluded with reason","Excluded from Store copy: an online converter implies a hosted or pasted-input workflow; Page 2 PDF works on the active Chrome tab.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"open html file in chrome and save as pdf","PDF-HTML","direct","not_applicable","excluded with reason","Excluded from Store copy: the listing promises an HTML webpage already open in Chrome, not raw code or file upload.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"page to pdf","PDF-WEBPAGE","direct","title","included","Save webpage to PDF | Converter Page 2 File","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"page to pdf converter","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"print webpage to pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"save a webpage as pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"save html to pdf","PDF-HTML","direct","long_description","covered semantically","convert an HTML webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"save page as pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"save webpage as pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"save webpage as pdf chrome","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"save webpage behind login as pdf","PDF-AUTHENTICATED","direct","long_description","covered semantically","save a webpage behind a login when it is already open and loaded in the current tab","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"save webpage to pdf","PDF-WEBPAGE","direct","title","included","Save webpage to PDF | Converter Page 2 File","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"save website as pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"telegram export chat","CHAT-MSG-TELEGRAM","direct","long_description","covered semantically","Telegram Web chat or channel to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"telegram export chat history","CHAT-MSG-TELEGRAM","direct","long_description","covered semantically","Telegram Web chat or channel to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"turn webpage into pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"url to pdf","PDF-WEBPAGE","direct","not_applicable","excluded with reason","Excluded from Store copy: Page 2 PDF does not accept a pasted URL or link.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"visual vs editable webpage conversion","MODE-COMPARISON","direct","long_description","covered semantically","Accurate copy — full-page PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"web page to pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"web to pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"webpage to pdf","PDF-WEBPAGE","direct","title","included","Save webpage to PDF | Converter Page 2 File","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"webpage to pdf chrome","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"webpage to pdf chrome extension","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"webpage to pdf converter","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"webpage to pdf online","PDF-WEBPAGE","direct","not_applicable","excluded with reason","Excluded from Store copy: an online converter implies a hosted or pasted-input workflow; Page 2 PDF works on the active Chrome tab.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"webpage to pdf with clickable links","PDF-LINKS","direct","long_description","covered semantically","selectable text and clickable links","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"website to pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"whatsapp chat export","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"whatsapp export chat","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"whatsapp to pdf","CHAT-MSG-WHATSAPP","direct","long_description","covered semantically","WhatsApp Web chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
